Alignment_name	No_of_taxa	Alignment_length	Total_matrix_cells	Undetermined_characters	Missing_percent	No_variable_sites	Proportion_variable_sites	Parsimony_informative_sites	Proportion_parsimony_informative	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
HOG0001300	30	374	11220	0	0.0	6	0.016	0	0.0	809	180	661	840	360	839	270	900	570	781	479	360	570	330	540	691	809	631	120	480	0	0	0	0	0	0	0	0
HOG0001321	26	361	9386	71	0.756	273	0.756	202	0.56	613	216	399	600	304	692	222	692	633	928	170	297	607	227	485	613	485	690	118	324	0	0	0	0	0	0	71	0
HOG0001416	28	495	13860	251	1.811	393	0.794	233	0.471	1284	300	251	676	740	1173	41	974	392	1854	502	395	619	506	542	1031	614	958	297	460	0	0	0	1	0	0	250	0
HOG0001417	28	458	12824	291	2.269	321	0.701	195	0.426	899	352	141	684	920	1271	216	893	423	1900	379	255	525	424	594	794	700	551	271	341	0	0	0	0	0	0	291	0
HOG0001447	22	308	6776	8	0.118	142	0.461	87	0.282	427	296	178	129	479	248	169	632	271	958	213	319	203	76	195	707	463	449	25	331	0	0	0	0	0	0	8	0
HOG0001529	28	381	10668	153	1.434	254	0.667	92	0.241	528	400	232	458	699	519	187	817	381	1332	235	480	321	311	545	811	663	684	289	623	0	0	0	0	0	0	153	0
HOG0001532	28	457	12796	929	7.26	338	0.74	224	0.49	770	357	282	610	732	674	312	952	528	1354	298	474	402	444	627	915	636	755	389	356	0	0	0	2	0	0	927	0
HOG0001539	26	287	7462	69	0.925	158	0.551	93	0.324	521	26	546	866	94	270	72	454	450	959	230	338	77	576	478	439	465	265	50	217	0	0	0	0	0	0	69	0
HOG0001540	25	313	7825	24	0.307	191	0.61	80	0.256	540	57	550	1006	102	254	155	434	482	1002	252	456	50	478	546	399	466	255	49	268	0	0	0	0	0	0	24	0
HOG0001546	29	434	12586	504	4.004	341	0.786	212	0.488	703	145	678	1226	351	773	348	787	852	1067	281	740	174	833	676	953	624	455	110	306	0	0	0	1	0	0	503	0
HOG0001548	28	306	8568	125	1.459	203	0.663	153	0.5	598	11	522	1091	91	245	124	533	495	1037	226	489	56	689	575	404	501	404	69	283	0	0	0	0	0	0	125	0
HOG0001589	29	458	13282	285	2.146	116	0.253	36	0.079	1089	366	694	1126	616	904	365	795	516	929	284	500	601	455	627	785	779	918	115	533	0	0	0	1	0	0	284	0
HOG0001594	18	448	8064	193	2.393	55	0.123	7	0.016	662	209	513	599	355	622	228	485	335	561	161	282	348	279	372	396	519	542	71	332	0	0	0	0	0	0	193	0
HOG0001607	29	448	12992	306	2.355	33	0.074	9	0.02	1015	332	806	982	570	1004	364	828	542	908	256	458	568	443	596	614	883	866	111	540	0	0	0	1	0	0	305	0
HOG0001611	18	448	8064	0	0.0	4	0.009	2	0.004	648	216	486	648	360	631	234	503	342	576	162	288	360	288	378	411	524	595	72	342	0	0	0	0	0	0	0	0
HOG0001722	25	764	19100	470	2.461	545	0.713	373	0.488	841	547	1088	1494	988	795	371	966	1352	1989	425	823	949	823	888	1194	970	1066	334	727	0	0	0	0	0	0	470	0
HOG0001728	29	808	23432	1226	5.232	553	0.684	319	0.395	1157	343	1290	1600	1121	1004	467	929	1645	2331	504	1265	1110	999	954	1591	1479	1345	389	683	0	0	0	0	0	0	1226	0
HOG0001903	17	340	5780	174	3.01	227	0.668	126	0.371	301	220	254	178	130	483	151	373	258	592	122	178	356	354	269	425	208	439	152	163	0	0	0	1	0	0	173	0
HOG0001921	31	627	19437	643	3.308	288	0.459	102	0.163	1249	569	618	839	1317	1576	124	1579	826	2126	491	447	996	380	521	1159	951	1418	644	964	0	0	0	0	0	0	643	0
HOG0002057	31	450	13950	46	0.33	114	0.253	72	0.16	836	272	723	1151	690	1014	373	745	473	1059	504	811	639	652	695	922	782	960	125	478	0	0	0	0	0	0	46	0
HOG0002058	30	439	13170	68	0.516	61	0.139	21	0.048	876	241	742	1050	720	1007	269	554	428	982	541	672	611	651	597	852	899	843	120	447	0	0	0	0	0	0	68	0
HOG0002059	28	428	11984	233	1.944	61	0.143	5	0.012	767	194	710	986	609	826	269	444	385	905	498	555	523	494	580	876	739	821	109	461	0	0	0	0	0	0	233	0
HOG0002065	20	445	8900	0	0.0	5	0.011	0	0.0	539	160	521	720	461	700	200	380	299	639	381	461	400	440	440	580	599	581	80	319	0	0	0	0	0	0	0	0
HOG0002096	29	433	12557	347	2.763	193	0.446	112	0.259	650	111	583	390	1002	581	730	541	817	1620	297	487	622	522	441	673	412	734	540	457	0	0	0	0	0	0	347	0
HOG0002141	28	280	7840	117	1.492	218	0.779	160	0.571	455	141	352	514	522	402	376	258	379	788	254	238	484	369	360	522	415	455	190	249	0	0	0	3	0	0	114	0
HOG0002149	19	281	5339	7	0.131	153	0.544	108	0.384	206	126	264	321	440	318	145	247	356	478	182	275	268	210	206	408	268	311	128	175	0	0	0	1	0	0	6	0
HOG0002159	29	474	13746	438	3.186	313	0.66	161	0.34	472	386	861	951	543	536	1021	612	1047	1013	258	476	425	422	964	1234	595	670	141	681	0	0	0	0	0	0	438	0
HOG0002160	28	463	12964	437	3.371	302	0.652	127	0.274	431	331	882	965	519	455	1051	659	1027	978	309	422	318	313	1048	1028	495	660	112	524	0	0	0	1	0	0	436	0
HOG0002185	28	471	13188	155	1.175	214	0.454	151	0.321	733	115	1016	866	979	1008	437	661	764	1132	269	481	781	347	650	705	646	542	274	627	0	0	0	0	0	0	155	0
HOG0002233	30	370	11100	98	0.883	107	0.289	58	0.157	1028	421	411	719	507	1228	208	720	958	693	206	203	513	232	243	596	713	1117	117	169	0	0	0	4	0	0	94	0
HOG0002359	25	1686	42150	1900	4.508	1007	0.597	738	0.438	1581	519	1432	1379	1730	11263	259	1371	1734	2587	601	691	6870	1323	1647	2062	1171	1425	161	444	0	0	0	4	0	0	1896	0
HOG0002364	23	1690	38870	1964	5.053	1010	0.598	633	0.375	1346	441	1224	1857	1121	10405	351	1305	2117	2091	554	441	6535	1537	1072	1910	1066	1060	140	333	0	0	0	1	0	0	1963	0
HOG0002414	25	110	2750	21	0.764	87	0.791	74	0.673	270	39	132	239	61	151	15	145	227	316	63	116	31	159	136	175	167	225	26	36	0	0	0	0	0	0	21	0
HOG0002419	24	100	2400	1	0.042	50	0.5	26	0.26	247	25	170	99	27	102	10	184	169	212	57	116	36	164	122	168	81	287	93	30	0	0	0	1	0	0	0	0
HOG0002474	31	912	28272	661	2.338	122	0.134	41	0.045	2250	315	1908	2545	944	1292	799	1948	1667	2523	895	1370	847	1687	1628	1141	1545	1017	481	809	0	0	0	0	0	0	661	0
HOG0002478	19	895	17005	27	0.159	239	0.267	46	0.051	1435	187	1105	1630	567	664	486	1214	1076	1618	554	846	467	987	1011	740	923	691	304	473	0	0	0	0	0	0	27	0
HOG0002491	30	403	12090	468	3.871	290	0.72	166	0.412	657	381	659	525	624	805	124	759	837	720	286	629	516	377	558	627	789	916	173	660	0	0	0	2	0	0	466	0
HOG0002494	20	357	7140	272	3.81	274	0.768	162	0.454	436	217	385	343	399	488	157	365	485	631	60	296	353	230	367	385	403	491	95	282	0	0	0	0	0	0	272	0
HOG0002529	28	226	6328	325	5.136	204	0.903	127	0.562	493	149	263	304	212	434	84	218	311	673	99	150	388	286	369	515	341	490	104	120	0	0	0	0	0	0	325	0
HOG0002530	28	190	5320	171	3.214	127	0.668	71	0.374	213	166	255	445	225	365	83	174	359	395	114	297	248	253	254	235	406	503	34	125	0	0	0	0	0	0	171	0
HOG0002567	28	345	9660	496	5.135	229	0.664	122	0.354	596	241	413	796	409	638	175	525	701	1160	219	268	256	317	302	703	432	476	83	454	0	0	0	0	0	0	496	0
HOG0002621	25	1359	33975	869	2.558	874	0.643	411	0.302	3080	197	1066	1638	577	9196	367	831	1198	1398	303	1120	5073	728	1784	1920	1046	1101	129	354	0	0	0	0	0	0	869	0
HOG0002630	27	471	12717	891	7.006	231	0.49	101	0.214	1133	160	551	1203	181	1189	251	330	472	673	131	196	1262	598	1124	1057	420	550	79	266	0	0	0	0	0	0	891	0
HOG0002638	19	100	1900	0	0.0	14	0.14	7	0.07	101	0	110	168	61	117	41	40	122	264	57	149	95	96	57	115	105	128	19	55	0	0	0	0	0	0	0	0
HOG0002655	19	345	6555	39	0.595	276	0.8	189	0.548	450	244	200	144	492	196	183	548	243	875	111	318	251	140	286	517	390	474	120	334	0	0	0	0	0	0	39	0
HOG0002660	23	529	12167	264	2.17	267	0.505	205	0.388	1033	273	328	468	716	867	132	911	272	1427	358	333	516	436	593	820	876	881	253	410	0	0	0	1	0	0	263	0
HOG0002661	23	528	12144	151	1.243	317	0.6	206	0.39	1142	391	396	425	791	964	105	615	313	1356	356	359	492	532	561	822	744	983	268	378	0	0	0	0	0	0	151	0
HOG0002663	26	522	13572	129	0.95	346	0.663	275	0.527	1095	331	284	623	818	999	202	780	389	1573	508	442	566	482	721	859	1005	984	296	486	0	0	0	0	0	0	129	0
HOG0002669	29	220	6380	9	0.141	127	0.577	73	0.332	335	67	448	572	529	561	139	229	401	332	86	400	266	202	523	484	207	346	56	188	0	0	0	0	0	0	9	0
HOG0002670	19	264	5016	414	8.254	176	0.667	109	0.413	266	39	415	428	294	395	139	172	318	176	79	182	241	125	334	335	176	243	22	223	0	0	0	0	0	0	414	0
HOG0002715	31	231	7161	241	3.365	134	0.58	88	0.381	639	209	101	218	376	604	25	313	249	812	214	363	257	152	198	730	473	481	178	328	0	0	0	0	0	0	241	0
HOG0002735	28	207	5796	0	0.0	139	0.671	101	0.488	560	297	131	158	169	500	16	594	202	642	291	231	203	243	150	393	237	475	168	136	0	0	0	0	0	0	0	0
HOG0002736	30	213	6390	4	0.063	105	0.493	88	0.413	651	292	164	219	213	545	3	528	255	739	259	154	286	226	198	403	339	513	161	238	0	0	0	0	0	0	4	0
HOG0002744	30	448	13440	1047	7.79	264	0.589	39	0.087	1524	188	432	528	648	1018	235	650	569	772	549	401	1030	1097	489	768	638	503	4	350	0	0	0	0	0	0	1047	0
HOG0002753	28	752	21056	834	3.961	408	0.543	274	0.364	1276	203	1358	1690	760	936	744	885	1026	2145	646	859	1069	893	984	1958	1176	1079	177	358	0	0	0	4	0	0	830	0
HOG0002771	29	297	8613	190	2.206	174	0.586	131	0.441	403	509	311	515	244	307	173	528	305	864	185	197	1092	247	465	664	719	447	142	106	0	0	0	0	0	0	190	0
HOG0002798	21	274	5754	364	6.326	135	0.493	15	0.055	685	38	365	1144	27	81	44	199	710	612	130	139	17	225	266	214	176	194	4	120	0	0	0	0	0	0	364	0
HOG0002803	28	372	10416	253	2.429	207	0.556	133	0.358	1032	142	344	586	259	1167	674	151	514	1076	231	151	939	639	448	683	501	313	134	179	0	0	0	3	0	0	250	0
HOG0002804	28	436	12208	666	5.455	177	0.406	50	0.115	1064	112	518	383	275	1174	814	258	523	851	279	308	940	1021	386	1188	558	624	132	134	0	0	0	0	0	0	666	0
HOG0002806	28	422	11816	541	4.579	104	0.246	49	0.116	998	111	460	481	251	1434	834	221	504	886	210	214	1016	1011	437	936	517	459	134	161	0	0	0	0	0	0	541	0
HOG0002826	29	233	6757	119	1.761	55	0.236	25	0.107	633	84	258	260	170	318	202	167	517	609	257	199	733	228	377	659	397	172	87	311	0	0	0	1	0	0	118	0
HOG0002828	26	323	8398	64	0.762	153	0.474	76	0.235	915	26	344	227	52	1137	288	152	418	628	422	293	704	421	442	810	252	337	78	388	0	0	0	0	0	0	64	0
HOG0002829	25	363	9075	197	2.171	72	0.198	39	0.107	1347	25	195	316	48	1305	469	140	384	506	477	263	762	413	412	830	228	341	73	344	0	0	0	1	0	0	196	0
HOG0002830	30	921	27630	291	1.053	604	0.656	244	0.265	2310	334	941	1761	788	1885	1001	702	1195	3024	600	721	2415	1907	1681	2427	1312	1725	216	394	0	0	0	1	0	0	290	0
HOG0002849	30	575	17250	159	0.922	175	0.304	80	0.139	824	640	876	1727	789	1112	466	644	1436	1846	371	463	906	747	1079	742	580	1049	181	613	0	0	0	1	0	0	158	0
HOG0002850	31	170	5270	17	0.323	111	0.653	69	0.406	256	21	475	728	287	391	50	328	635	461	217	162	54	151	279	326	250	130	0	52	0	0	0	0	0	0	17	0
HOG0002867	27	499	13473	362	2.687	269	0.539	80	0.16	1073	248	823	1111	709	505	538	650	792	1367	187	218	641	468	757	1213	655	568	81	507	0	0	0	0	0	0	362	0
HOG0002868	31	438	13578	189	1.392	184	0.42	94	0.215	762	324	767	1159	808	623	418	599	995	1293	200	671	611	440	778	936	599	866	62	478	0	0	0	0	0	0	189	0
HOG0002875	24	125	3000	1	0.033	96	0.768	73	0.584	307	276	81	40	125	298	24	187	73	273	42	146	70	93	65	384	109	212	94	100	0	0	0	0	0	0	1	0
HOG0002894	28	613	17164	91	0.53	354	0.577	200	0.326	1579	308	1095	1359	621	1139	348	1102	1194	1523	360	630	547	755	861	938	1298	1040	84	292	0	0	0	0	0	0	91	0
HOG0002895	26	645	16770	238	1.419	457	0.709	308	0.478	1507	289	872	1353	484	1081	388	743	931	1640	261	597	625	828	1124	974	1146	1323	66	300	0	0	0	2	0	0	236	0
HOG0002903	20	355	7100	35	0.493	240	0.676	180	0.507	345	249	265	246	663	303	89	493	422	881	202	265	218	128	197	576	430	583	140	370	0	0	0	0	0	0	35	0
HOG0002936	28	463	12964	447	3.448	260	0.562	156	0.337	695	313	579	927	484	613	532	738	1077	995	280	538	589	473	353	1070	801	869	138	453	0	0	0	0	0	0	447	0
HOG0002954	29	192	5568	199	3.574	133	0.693	77	0.401	355	130	339	365	296	323	97	462	458	414	121	268	89	133	210	327	415	334	88	145	0	0	0	1	0	0	198	0
HOG0002957	27	207	5589	133	2.38	78	0.377	31	0.15	383	80	322	347	358	374	48	524	553	380	176	304	106	192	282	332	338	166	55	136	0	0	0	0	0	0	133	0
HOG0002958	29	200	5800	262	4.517	48	0.24	16	0.08	338	74	333	389	329	359	31	553	574	362	201	329	37	84	322	447	414	171	55	136	0	0	0	0	0	0	262	0
HOG0002969	29	526	15254	632	4.143	323	0.614	183	0.348	683	289	707	1050	804	425	469	730	1278	1691	392	564	1007	685	893	829	715	814	219	378	0	0	0	3	0	0	629	0
HOG0003008	31	402	12462	845	6.781	71	0.177	28	0.07	641	152	444	465	506	967	154	700	644	944	343	838	602	602	654	1027	847	647	66	374	0	0	0	6	0	0	839	0
HOG0003061	14	583	8162	23	0.282	161	0.276	42	0.072	584	197	450	552	480	620	224	471	356	743	207	254	504	163	458	452	514	472	139	299	0	0	0	0	0	0	23	0
HOG0003091	31	339	10509	376	3.578	95	0.28	45	0.133	355	63	576	597	192	639	232	203	832	382	108	203	290	211	1954	2308	152	431	31	374	0	0	0	0	0	0	376	0
HOG0003099	31	1325	41075	1783	4.341	852	0.643	379	0.286	1683	1921	1976	2878	1168	2995	868	1968	1912	3587	1103	1979	2247	1765	2148	3000	1919	2196	475	1504	0	0	0	0	0	0	1783	0
HOG0003111	29	573	16617	665	4.002	378	0.66	208	0.363	1380	128	736	2313	236	739	294	416	1090	1801	307	321	292	1029	1494	1354	695	821	170	336	0	0	0	1	0	0	664	0
HOG0003113	28	595	16660	1029	6.176	419	0.704	275	0.462	1324	249	675	933	842	1561	259	501	504	1923	260	276	886	462	1222	829	878	1222	296	529	0	0	0	0	0	0	1029	0
HOG0003117	22	243	5346	313	5.855	127	0.523	15	0.062	179	89	122	434	188	378	154	186	453	443	176	185	260	295	191	428	341	240	23	268	0	0	0	0	0	0	313	0
HOG0003129	29	387	11223	519	4.624	118	0.305	60	0.155	589	105	596	374	500	447	214	733	610	1072	343	465	419	252	735	780	899	711	188	672	0	0	0	0	0	0	519	0
HOG0003131	27	387	10449	245	2.345	57	0.147	31	0.08	546	83	548	399	559	445	218	679	550	1054	266	585	316	314	707	682	841	684	181	547	0	0	0	0	0	0	245	0
HOG0003162	30	430	12900	891	6.907	139	0.323	20	0.047	1151	136	463	795	295	965	363	581	590	744	393	669	470	793	626	1386	658	544	59	328	0	0	0	0	0	0	891	0
HOG0003168	28	433	12124	850	7.011	112	0.259	19	0.044	1008	129	464	719	273	902	371	525	576	793	356	750	505	722	564	1124	663	479	54	297	0	0	0	0	0	0	850	0
HOG0003209	30	331	9930	36	0.363	161	0.486	70	0.211	590	466	269	265	625	476	376	1128	253	1174	396	430	273	158	340	941	474	729	102	429	0	0	0	0	0	0	36	0
HOG0003210	29	295	8555	197	2.303	170	0.576	127	0.431	601	333	202	244	674	286	264	975	260	1096	447	331	262	127	303	629	400	577	66	281	0	0	0	0	0	0	197	0
HOG0003214	27	767	20709	688	3.322	292	0.381	104	0.136	1637	391	1194	791	430	1527	861	855	1062	1573	438	628	1696	965	792	2193	1143	1045	218	582	0	0	0	0	0	0	688	0
HOG0003217	18	769	13842	1039	7.506	347	0.451	125	0.163	1107	280	613	603	288	958	470	456	598	1184	211	410	798	734	486	1453	739	914	143	358	0	0	0	1	0	0	1038	0
HOG0003218	31	558	17298	269	1.555	51	0.091	10	0.018	1294	423	1045	630	368	1377	583	761	907	1190	188	683	1535	460	733	2001	1062	1094	244	451	0	0	0	1	0	0	268	0
HOG0003253	30	360	10800	498	4.611	65	0.181	26	0.072	702	708	561	654	409	886	442	452	512	684	169	329	438	264	726	700	547	562	252	305	0	0	0	0	0	0	498	0
HOG0003270	25	323	8075	101	1.251	94	0.291	27	0.084	679	154	309	694	343	205	156	331	379	993	245	514	324	410	422	471	672	401	49	223	0	0	0	0	0	0	101	0
HOG0003324	30	698	20940	330	1.576	320	0.458	129	0.185	1342	499	987	1464	1016	1631	397	1306	1367	1872	468	623	1117	842	1050	1188	931	1503	328	679	0	0	0	0	0	0	330	0
HOG0003344	21	107	2247	8	0.356	88	0.822	73	0.682	143	50	81	83	94	206	56	81	114	440	41	19	206	128	147	198	73	48	27	4	0	0	0	0	0	0	8	0
HOG0003346	20	129	2580	60	2.326	114	0.884	91	0.705	158	59	143	159	114	240	52	54	81	366	39	27	160	145	201	216	108	88	51	59	0	0	0	0	0	0	60	0
HOG0003374	21	169	3549	169	4.762	140	0.828	92	0.544	294	116	161	312	163	268	108	149	205	364	131	109	106	121	159	143	114	191	31	135	0	0	0	0	0	0	169	0
HOG0003376	29	176	5104	99	1.94	134	0.761	59	0.335	330	114	312	439	282	318	126	257	188	489	227	177	201	93	336	251	202	287	116	260	0	0	0	2	0	0	97	0
HOG0003377	29	167	4843	13	0.268	52	0.311	25	0.15	314	119	274	587	320	309	118	232	326	495	179	81	165	55	238	284	119	239	112	264	0	0	0	0	0	0	13	0
HOG0003387	30	189	5670	132	2.328	69	0.365	45	0.238	350	0	284	202	308	289	136	400	399	835	58	152	113	173	151	426	220	748	58	236	0	0	0	0	0	0	132	0
HOG0003393	29	427	12383	693	5.596	194	0.454	110	0.258	571	226	698	1062	487	798	291	592	794	1194	242	331	506	419	761	960	746	601	171	240	0	0	0	0	0	0	693	0
HOG0003404	31	800	24800	1068	4.306	248	0.31	81	0.101	1322	280	1144	1701	770	1425	570	1140	1689	1678	648	1089	1328	770	1834	2724	1610	1250	155	605	0	0	0	0	0	0	1068	0
HOG0003418	31	882	27342	620	2.268	183	0.207	88	0.1	1819	982	1224	1419	908	1868	734	1264	1142	2949	298	869	1845	1232	1242	2370	1507	1768	621	661	0	0	0	0	0	0	620	0
HOG0003425	31	899	27869	1163	4.173	432	0.481	100	0.111	1207	639	1397	1723	1107	1420	961	1426	1806	2521	652	1312	1953	1237	1322	1987	1411	1600	299	726	0	0	0	6	0	0	1157	0
HOG0003432	30	2053	61590	2648	4.299	858	0.418	463	0.226	3699	1215	2617	4133	3622	3643	1591	3874	2902	6153	1570	2532	2593	1890	3027	4349	2892	3990	801	1849	0	0	0	8	0	0	2640	0
HOG0003444	30	421	12630	899	7.118	145	0.344	43	0.102	825	176	756	914	485	798	184	564	1582	1152	277	562	509	447	219	388	602	826	106	359	0	0	0	0	0	0	899	0
HOG0003490	31	297	9207	158	1.716	75	0.253	19	0.064	548	88	462	583	484	494	299	504	697	1150	153	268	493	232	463	500	533	676	121	301	0	0	0	0	0	0	158	0
HOG0003491	29	299	8671	180	2.076	81	0.271	47	0.157	466	86	510	396	352	490	202	483	662	1095	153	265	427	422	509	419	443	570	148	393	0	0	0	0	0	0	180	0
HOG0003495	30	770	23100	324	1.403	109	0.142	27	0.035	1297	417	879	1811	889	1165	403	1289	1401	2439	761	1140	1008	1754	1035	1471	1337	1222	439	619	0	0	0	0	0	0	324	0
HOG0003502	30	314	9420	296	3.142	169	0.538	38	0.121	664	159	382	365	550	647	241	632	427	806	180	342	345	194	676	1080	541	460	82	351	0	0	0	0	0	0	296	0
HOG0003512	31	419	12989	357	2.748	94	0.224	47	0.112	893	216	554	646	274	880	601	356	612	1607	283	659	1033	594	754	1218	546	548	29	329	0	0	0	0	0	0	357	0
HOG0003520	25	380	9500	283	2.979	282	0.742	135	0.355	317	286	297	188	740	269	260	930	538	1056	239	429	294	189	462	898	554	650	109	512	0	0	0	8	0	0	275	0
HOG0003523	31	532	16492	119	0.722	92	0.173	40	0.075	952	273	895	1172	620	1505	336	766	998	1539	386	622	767	675	912	887	1112	842	309	805	0	0	0	0	0	0	119	0
HOG0003540	31	1120	34720	362	1.043	402	0.359	66	0.059	2619	344	1698	4192	498	1748	653	960	2107	4499	1089	1347	1219	1974	3001	2861	1500	1343	371	335	0	0	0	1	0	0	361	0
HOG0003542	31	1217	37727	1599	4.238	370	0.304	166	0.136	2511	247	1892	3949	616	1536	1022	1278	2063	4586	960	1117	1547	2039	3078	3511	2073	1376	368	359	0	0	0	12	0	0	1587	0
HOG0003554	23	409	9407	524	5.57	167	0.408	39	0.095	528	160	665	760	368	421	174	328	753	880	110	416	615	256	485	331	525	849	1	258	0	0	0	0	0	0	524	0
HOG0003555	31	427	13237	457	3.452	118	0.276	57	0.133	746	215	572	1119	511	640	570	586	496	1468	471	437	550	535	792	741	741	723	208	659	0	0	0	0	0	0	457	0
HOG0003558	28	497	13916	411	2.953	251	0.505	78	0.157	723	251	708	1138	532	641	541	560	567	1556	467	795	458	385	954	960	651	805	141	672	0	0	0	0	0	0	411	0
HOG0003606	30	616	18480	411	2.224	310	0.503	208	0.338	1437	628	519	479	1325	1569	233	1172	704	1947	379	641	828	351	417	1321	1434	1535	439	711	0	0	0	0	0	0	411	0
HOG0003609	29	589	17081	387	2.266	365	0.62	240	0.407	1391	393	471	415	1062	1599	149	1179	556	2164	489	539	585	442	460	1194	1125	1422	313	746	0	0	0	0	0	0	387	0
HOG0003629	30	1491	44730	2819	6.302	372	0.249	187	0.125	2272	1240	2160	2443	1699	2637	1271	2200	1474	3940	915	2263	2630	1934	2880	2976	2867	2512	409	1189	0	0	0	1	0	0	2818	0
HOG0003652	30	1007	30210	418	1.384	254	0.252	145	0.144	2705	361	1444	1385	1659	2268	596	2353	1665	3200	803	1298	1076	797	1185	1892	1524	2112	471	998	0	0	0	3	0	0	415	0
HOG0003653	31	658	20398	1074	5.265	272	0.413	89	0.135	1671	185	1132	1165	612	1845	435	1264	1065	1146	620	654	1104	783	903	1398	1219	1334	216	573	0	0	0	0	0	0	1074	0
HOG0003660	28	426	11928	99	0.83	192	0.451	18	0.042	549	335	901	729	686	885	522	627	425	978	240	595	563	472	503	731	446	791	56	795	0	0	0	0	0	0	99	0
HOG0003661	30	487	14610	356	2.437	48	0.099	17	0.035	846	294	1137	1125	531	1271	472	713	1160	917	501	604	578	440	680	777	549	750	59	850	0	0	0	0	0	0	356	0
HOG0003662	29	227	6583	95	1.443	132	0.581	63	0.278	118	72	803	1193	149	436	67	181	522	973	59	380	210	98	237	415	191	297	2	85	0	0	0	0	0	0	95	0
HOG0003664	30	255	7650	210	2.745	104	0.408	65	0.255	311	86	1024	1475	146	443	17	192	443	970	108	485	185	143	310	411	243	270	3	175	0	0	0	0	0	0	210	0
HOG0003668	27	445	12015	501	4.17	242	0.544	165	0.371	1206	191	478	620	528	1124	325	301	374	1122	105	402	1385	513	497	1363	384	271	57	268	0	0	0	12	0	0	489	0
HOG0003669	23	397	9131	518	5.673	241	0.607	166	0.418	1102	136	335	579	314	698	113	275	231	826	116	198	1124	264	501	1070	253	180	47	251	0	0	0	0	0	0	518	0
HOG0003670	19	325	6175	970	15.709	254	0.782	199	0.612	644	90	94	244	218	490	102	192	146	515	61	94	666	213	455	558	132	141	74	76	0	0	0	0	0	0	970	0
HOG0003743	30	525	15750	684	4.343	171	0.326	109	0.208	820	316	806	1125	515	634	193	824	1031	1349	393	712	771	808	1004	999	654	1215	117	780	0	0	0	0	0	0	684	0
HOG0003744	30	467	14010	427	3.048	183	0.392	92	0.197	858	325	752	1086	418	578	319	640	921	1181	380	622	721	553	935	872	542	1041	91	748	0	0	0	4	0	0	423	0
HOG0003749	30	185	5550	83	1.495	30	0.162	5	0.027	376	181	374	241	207	346	62	265	388	537	64	182	442	120	294	240	386	465	61	236	0	0	0	0	0	0	83	0
HOG0003755	31	429	13299	614	4.617	194	0.452	54	0.126	691	147	748	1345	573	557	380	589	1430	1119	364	592	364	661	567	755	636	786	45	336	0	0	0	4	0	0	610	0
HOG0003763	29	482	13978	675	4.829	376	0.78	237	0.492	645	124	714	750	798	449	287	1042	570	1562	309	462	1044	418	648	825	825	1025	300	506	0	0	0	1	0	0	674	0
HOG0003778	29	404	11716	264	2.253	129	0.319	35	0.087	774	201	657	489	713	565	223	898	673	1017	432	630	570	380	734	691	583	569	202	451	0	0	0	0	0	0	264	0
HOG0003779	29	404	11716	90	0.768	94	0.233	62	0.153	608	207	621	581	759	584	168	656	468	1210	481	474	596	410	859	740	662	791	216	535	0	0	0	0	0	0	90	0
